File number,Character,Type,Line,Character ID,Type,shr,Value ,Base Value,,,
00000,Junko,Trial 6,I see... So that's your reaction to seeing an extra large high school girl,18,6,0,1,1,,,
00001,Junko,Trial 6,But are they really that big? Don't you think they're pretty small?,18,6,0,2,2,,,
00002,Junko,Trial 6,Hmm? But the final boss in a certain action game is much bigger.,18,6,0,3,3,,,
00003,Junko,Trial 6,You know? That game - Kniferella!,18,6,0,4,4,,,
00004,Junko,Trial 6,"I see, I see... An estimated bust size of 15 meters, huh? My boobs are hopelessly huge...",18,6,0,5,5,,,
00005,Junko,Trial 6,"Hey hey, want me to squish you inbetween them? Big boobs feel good, you know?",18,6,0,6,6,,,
00006,Junko,Trial 6,If this was a pandering fanservice game full of pretty girls there'd be a CG close-up of my cleavage. But...,18,6,0,7,7,,,
00007,Junko,Trial 6,"...too bad, this isn't a fanservice game. Of course, since it's not an action game either...",18,6,0,8,8,,,
00008,Junko,Trial 6,...you won't even get the refreshing sensation of battling an enormous final boss!,18,6,0,9,9,,,
00009,Junko,Trial 6,Gahahahahaha! So fucking hopeless!,18,6,0,10,10,,,
00010,Junko,Trial 6,"*Gasp* I'm shocked you'd call me ""this thing""! Oh, you're so mean!",18,6,0,11,11,,,
00011,Junko,Trial 6,"I get easily bored of my personality. Like, I  already got bored of my personality who gets easily bored.",18,6,0,12,12,,,
00012,Junko,Trial 6,"And that's when Fuyuhiko would say: ""It's too damn soon you got bored!"", right?",18,6,0,13,13,,,
00013,Junko,Trial 6,"I have pleeenty of data on you guys, so it's sooo easy to know what you're all thinking!",18,6,0,14,14,,,
00014,Junko,Trial 6,"I got bored of getting bored. Jeez, even when I'm dead I still get bored. This sucks.",18,6,0,15,15,,,
00015,Junko,Trial 6,"It's true, I did end up dying the last time.",18,6,0,16,16,,,
00016,Junko,Trial 6,"I-I'm sorry, okay? I didn't mean to go so fast. I-I couldn't help it,you know? It was my first time!",18,6,0,17,17,,,
00017,Junko,Trial 6,"Jeez, stupid! You're the one who made me go!",18,6,0,18,18,,,
00018,Junko,Trial 6,Do you guys know about an artificial intelligence called Alter Ego?,18,6,0,19,19,,,
00019,Junko,Trial 6,Exuberance! We are now an AI! We have transcended humanity!,18,6,0,20,20,,,
00020,Junko,Trial 6,"You see, my personality is like this because I'm the type who dies easily, right?",18,6,0,21,21,,,
00021,Junko,Trial 6,That's why I made my own AI program while I was still alive.,18,6,0,22,22,,,
00022,Junko,Trial 6,And then someone uploaded me into this Neo World Program.,18,6,0,23,23,,,
00023,Junko,Trial 6,And that's how Alter Ego Junko hopelessly appeared in front of you guys.,18,6,0,24,24,,,
00024,Junko,Trial 6,"Don't get conscious and think stuff like ""What can we do?"". I mean, we're all Ultimate Despair here.",18,6,0,25,25,,,
00025,Junko,Trial 6,Each and every one of our classmates looked at us like we're a bunch of loogies on the side of the road.,18,6,0,26,26,,,
00026,Junko,Trial 6,"So, let's all be friends!",18,6,0,27,27,,,
00027,Junko,Trial 6,"Mannn, they hate me...",18,6,0,28,28,,,
00028,Junko,Trial 6,And I was thinking of you guys when I tampered with the graduation program. But they still hate me...,18,6,0,29,29,,,
00029,Junko,Trial 6,"Remember what that fake Makoto said earlier? About what happens to you when you graduate, right?",18,6,0,30,30,,,
00030,Junko,Trial 6,I feel like you guys weren't getting a big enough reward for graduating.,18,6,0,31,31,,,
00031,Junko,Trial 6,"Sooo, I decided to modify what happens so it's something exciting and unique! Just like a game!",18,6,0,32,32,,,
00032,Junko,Trial 6,Uploading your game memories into your real bodies is fine but letting your friends stay dead just sucks.,18,6,0,33,33,,,
00033,Junko,Trial 6,That's why I decided to resurrect them!,18,6,0,34,34,,,
00034,Junko,Trial 6,This is the new graduation program I'm offering.,18,6,0,35,35,,,
00035,Junko,Trial 6,"It wash like real hard, y'know?",18,6,0,36,36,,,
00036,Junko,Trial 6,The graduashion program ish the core part of thish game! Sho it wash protected with a lot of encrypted codesh.,18,6,0,37,37,,,
00037,Junko,Trial 6,It took me a long time! I felt sho much deshpair about how ushelesh I am.,18,6,0,38,38,,,
00038,Junko,Trial 6,"Well, one advantage of being an AI is that I got smarter with computers.",18,6,0,39,39,,,
00039,Junko,Trial 6,"Before that, every time a computer froze I used to put it in a microwave and nuke it!",18,6,0,40,40,,,
00040,Junko,Trial 6,"Show of hands, class. How long do you think it too for me to modify it?",18,6,0,41,41,,,
00041,Junko,Trial 6,"Did you forget? You gotta answer questions to progress the story. That's the rule of this game, right?",18,6,0,42,42,,,
00042,Junko,Trial 6,"By the way, I'll give you a clue: You guys were always watching time slip away at a certain place.",18,6,0,43,43,,,
00043,Junko,Trial 6,How brilliant...ly wrong! Haha! You're totally wrong about that tricky timer!,18,6,0,44,44,,,
00044,Junko,Trial 6,How should I put this? I was just... goofing around?,18,6,0,45,45,,,
00045,Junko,Trial 6,I mean... Isn't stuff you don't understand exciting even though you don't get it?,18,6,0,46,46,,,
00046,Junko,Trial 6,"it's kind of like superhero cosplayers. Or someone else's designs of alien life and stuff, right?",18,6,0,47,47,,,
00047,Junko,Trial 6,In the end it was meaningless. Does that fill you with despair? Like getting booted from a game server?,18,6,0,48,48,,,
00048,Junko,Trial 6,You know those murder mysteries where the culprit is really the detective who's investigating the murder?,18,6,0,49,49,,,
00049,Junko,Trial 6,Well I'm sooo over predictable crap like that. Just what did you expect at this stage of the game?,18,6,0,50,50,,,
00050,Junko,Trial 6,"Well, in a way, the countdown implied I was on a mission.",18,6,0,51,51,,,
00051,Junko,Trial 6,"Did you ever make up your own silly rules, like ""Don't step off the white line when you the road""?",18,6,0,52,52,,,
00052,Junko,Trial 6,I was testing myself to see if I could get you guys into the graduation program before the timer reached zero.,18,6,0,53,53,,,
00053,Junko,Trial 6,"Don't be so disappointed! It's totally true, I had a hard time manipulating the program.",18,6,0,54,54,,,
00054,Junko,Trial 6,"While you guys were at the beach making wrinkly dog faces I was working sooo hard on my own, you know?",18,6,0,55,55,,,
00055,Junko,Trial 6,"Like I said, it's e- *yawn* - easy. It's just a game, after all.",18,6,0,56,56,,,
00056,Junko,Trial 6,"Yeahhh, each and everything that happened in this world was just an event within the game.",18,6,0,57,57,,,
